App Version Code,Reviewer Language,Device,Review Date,Star Rating,Review Title,Review Text
744.0,pt,gale,2024-03-01,1,,Ruim
744.0,ru,r8q,2024-03-01,5,,"Игра очень не плохая, очень нравится графика, персонажи... обидно конечно за маленькие награды, и на то, что разрабы забили на игру, но очень хотелось бы узнать историю второго близнеца"
744.0,pt,spes,2024-03-01,5,,
744.0,pt,cancun,2024-03-01,1,,"Eu amo muito esse jogo, já acompanho desde o lançamento, ele é bom, porém não escuta a comunidade, trás coisas desnecessária e não trás o essencial, ele tem um grande potencial mas se continuar com a atitude que estão ele será totalmente ultrapassado por outro"
744.0,ru,gust,2024-03-01,5,,Круто игра супер
744.0,en,z3q,2024-03-01,4,,Is a really good game but for some reason saying my storage something about my storage and I will clear videos and nothing will change
744.0,pt,alioth,2024-03-01,1,,
744.0,en,HWEML,2024-03-01,5,,
744.0,pt,a7y18lte,2024-03-01,3,,
744.0,en,r9q,2024-03-01,5,,
744.0,en,Infinix-X6711,2024-03-01,5,,
744.0,en,OP530DL1,2024-03-01,3,,"It's a great game yes but the fact is that the developers are killing it. Almost no rewards for the most anticipated event, lack of end game content, not listening to community feedbacks, and so much more. These are the reasons why i dont really play genshin now."
744.0,pt,earth,2024-03-01,5,,O jogo geshing impact é maravilhoso muito legal mesmo na minha opinião é um dos melhores se não o melhor jogo de rpg para celular que jogo lindo é geshing impact parabéns aos criadores e a empresa que criou esse jogo sensacional parabéns
744.0,pt,xpeng,2024-03-01,1,,"Empresa não ouve a comunidade, não trás melhorias pro jogo, todo feedback que recebem eles usam no honkai starail e as recompensas são uma miséria!"
744.0,en,r0q,2024-03-01,4,,
744.0,en,sweet,2024-03-01,5,,
744.0,pt,REE2ADL1,2024-03-01,1,,"Jogo ruim, e simplesmente isso que eu tenho a dizer, falta de consideração para os players, recompensas ruins, eventos saturados demais, personagens reciclados, espero que mude e comecem a dar mais consideração aos players e pare de dar 3 tiros parcelados em 5 dias de login...."
744.0,pt,moonstone,2024-03-01,5,,"O jogo é muito bom melhor jogo da play store,o meu Cell é um poço x5 5g funciona bem no médio até extremamente alta só esquenta mais roda leve até super recomendo pra quem tem um Cell bom"
744.0,en,penangf,2024-03-01,5,,Say what you want about the community surrounding this game it's honestly impressive that the developers were able to get such a massive and beautiful looking game to run on a mobile device.
744.0,ru,Judau,2024-03-01,5,,
744.0,en,OP532FL1,2024-03-01,5,,
744.0,en,TECNO-KJ6,2024-03-01,5,,
744.0,pt,rhode,2024-03-01,1,,
744.0,en,PD2199,2024-03-01,4,,Genshin is eating our memories like the tsunami!Also is becoming meaner and meaner...
744.0,pt,rhode,2024-03-01,5,,Perfeito gráficos personagens recompensas mas muitos celulares podem não rodar é o melhor jogo mobile da história pois nunca fizeram outro RPG como esse bonito divertido diversas história é perfeito jogabilidade qualidade e TUDO mas não possui muita otimização mas é um jogo de Pc e conseguiram trazer para celular é um mundo gigante cheio de variedades simplesmente incrível
744.0,en,amber,2024-03-01,5,,Im just need yae miko bruh please gimmi🗿😴
744.0,en,a51,2024-03-01,4,,Super fun! 💗But hoyoverse can you care a bit more for this underrated game? I know Honkai starrail is new game but you need to still care about genshin impact. Thank you! Diluc & Navia main💛❤️
744.0,pt,devonf,2024-03-01,1,,Minha experiência com o jogo foi péssima como alguém que joga bastante jogos mobile acredito que Genshin não respeita o consumidor do jogo e não o recompensa da forma que ele merece e por conta disso eu dou 1 estrela
744.0,en,a04e,2024-03-01,5,,I have 68 storge 68! and i still cant play it
744.0,pt,dubai,2024-03-01,2,,
744.0,ru,TECNO-LG6n,2024-03-01,5,,
744.0,en,a53x,2024-03-01,4,,
744.0,pt,a12s,2024-03-01,5,,Tô dando 5 estrelas pro jogo nao sair da play story mas as recompensas são um lixo
744.0,en,HWVOG,2024-03-01,5,,
744.0,en,earth,2024-03-01,5,,"This is the best game in my life, it has a cool story, it has the best graphics and the those characters were really good"
744.0,pt,a14x,2024-03-01,1,,Decepcionado. Existem opções melhores de jogos com essa premissa.
744.0,pt,mondrian,2024-03-01,1,,Imundície do carai menó
744.0,en,OP4F11L1,2024-03-01,5,,
744.0,pt,earth,2024-03-01,1,,"Eu estava OBSECADO, mas cansei por conta que não dá p conseguir os personagens, quando vc finalmente junta gemas p conseguir o personagem (que já demora MUITO) do banner vc perde ele no 50/50, p mim o jogo é 3 ou 4 estrelas mas botei uma p ver se a hoyoverse se toca"
744.0,pt,hawao,2024-03-01,5,,
744.0,en,pipa,2024-03-01,1,,
744.0,en,bramble,2024-03-01,5,,
744.0,pt,penang,2024-03-01,5,,"Em poucas palavras, o jogo é excelente, gráficos muito bonitos, qualidade de jogo, função das orações e dinâmica de batalha são os principais fatores que me levaram a jogar. O jogo atendeu minhas expectativas mais do que eu imaginaria, em menos de um ano, ocupou o lugar de jogo favorito em minha vida, e, um dos melhores que já joguei."
744.0,en,OP4B80L1,2024-03-01,5,,
744.0,pt,a71,2024-03-01,1,,
744.0,ru,yunluo,2024-03-01,5,,Крутая игра мне всё нравится
